Date,Quantity_Prepared,Predicted_Sold,Estimated_Waste,Recommended_Qty
2025-06-01,81.0,71.0,10.0,75.0
2025-06-02,67.0,60.0,7.0,63.0
2025-06-03,73.0,65.0,8.0,68.0
2025-06-04,44.0,39.0,5.0,41.0
2025-06-05,99.0,89.0,10.0,93.0
2025-06-06,43.0,39.0,4.0,41.0
2025-06-07,56.0,50.0,6.0,52.0
2025-06-08,55.0,49.0,6.0,51.0
2025-06-09,41.0,36.0,5.0,38.0
2025-06-10,61.0,54.0,7.0,57.0
2025-06-11,36.0,32.0,4.0,34.0
2025-06-12,66.0,59.0,7.0,62.0
2025-06-13,62.0,54.0,8.0,57.0
2025-06-14,40.0,35.0,5.0,37.0
2025-06-15,64.0,57.0,7.0,60.0
2025-06-16,93.0,83.0,10.0,87.0
2025-06-17,87.0,77.0,10.0,81.0
2025-06-18,37.0,33.0,4.0,35.0
2025-06-19,72.0,64.0,8.0,67.0
2025-06-20,57.0,50.0,7.0,52.0
2025-06-21,44.0,38.0,6.0,40.0
2025-06-22,69.0,61.0,8.0,64.0
2025-06-23,83.0,74.0,9.0,78.0
2025-06-24,30.0,27.0,3.0,28.0
2025-06-25,39.0,34.0,5.0,36.0
2025-06-26,74.0,65.0,9.0,68.0
2025-06-27,68.0,60.0,8.0,63.0
2025-06-28,82.0,72.0,10.0,76.0
2025-06-29,69.0,62.0,7.0,65.0
2025-06-30,57.0,52.0,5.0,55.0
