Date,Quantity_Prepared,Quantity_Sold,Quantity_Wasted,Corrected Item,Day_encoded,Original_Item,Item_burger,Item_maggi,Item_patties,Item_poha,Item_samosa,Item_sandwich,Recommended_Qty
2025-01-01,22,20.0,1,samosa,2,samosa,False,False,False,False,True,False,21.0
2025-01-01,20,20.0,0,sandwich,2,sandwich,False,False,False,False,False,True,21.0
2025-01-01,34,24.0,13,burger,2,burger,True,False,False,False,False,False,25.0
2025-01-01,48,40.0,11,maggi,2,maggi,False,True,False,False,False,False,42.0
2025-01-01,29,25.0,5,poha,2,poha,False,False,False,True,False,False,26.0
2025-01-01,25,23.0,5,patties,2,patties,False,False,True,False,False,False,24.0
2025-01-02,29,22.0,6,burger,3,burger,True,False,False,False,False,False,23.0
2025-01-02,50,41.0,12,sandwich,3,sandwich,False,False,False,False,False,True,43.0
2025-01-02,26,22.0,7,samosa,3,samosa,False,False,False,False,True,False,23.0
2025-01-02,50,41.0,9,maggi,3,maggi,False,True,False,False,False,False,43.0
2025-01-02,30,21.0,12,patties,3,patties,False,False,True,False,False,False,22.0
2025-01-02,38,35.0,4,poha,3,poha,False,False,False,True,False,False,37.0
2025-01-03,60,58.0,5,samosa,4,samosa,False,False,False,False,True,False,61.0
2025-01-03,50,43.0,5,sandwich,4,sandwich,False,False,False,False,False,True,45.0
2025-01-03,55,45.0,10,burger,4,burger,True,False,False,False,False,False,47.0
2025-01-03,29,21.0,11,maggi,4,maggi,False,True,False,False,False,False,22.0
2025-01-03,33,28.0,3,poha,4,poha,False,False,False,True,False,False,29.0
2025-01-03,22,20.0,4,patties,4,patties,False,False,True,False,False,False,21.0
2025-01-04,24,24.0,0,sandwich,5,sandwich,False,False,False,False,False,True,25.0
2025-01-04,54,46.0,9,burger,5,burger,True,False,False,False,False,False,48.0
2025-01-04,26,23.0,1,samosa,5,samosa,False,False,False,False,True,False,24.0
2025-01-04,33,39.61980830670927,6,poha,5,poha,False,False,False,True,False,False,42.0
2025-01-04,28,20.0,8,patties,5,patties,False,False,True,False,False,False,21.0
2025-01-04,47,46.0,0,maggi,5,maggi,False,True,False,False,False,False,48.0
2025-01-05,61,57.0,2,samosa,6,samosa,False,False,False,False,True,False,60.0
2025-01-05,63,53.0,12,sandwich,6,sandwich,False,False,False,False,False,True,56.0
2025-01-05,34,25.0,7,burger,6,burger,True,False,False,False,False,False,26.0
2025-01-05,30,39.61980830670927,6,maggi,6,maggi,False,True,False,False,False,False,42.0
2025-01-05,43,34.0,10,poha,6,poha,False,False,False,True,False,False,36.0
2025-01-05,48,38.0,11,patties,6,patties,False,False,True,False,False,False,40.0
2025-01-06,34,30.0,2,samosa,0,samosa,False,False,False,False,True,False,32.0
2025-01-06,38,39.61980830670927,0,sandwich,0,sandwich,False,False,False,False,False,True,42.0
